DEVICE_ID,CAR_ID,RENTAL_ID,TIMESTAMP,LATITUDE,LONGITUDE,SPEED_KMH,ACCELERATION_MS2,BRAKE_PRESSURE_BAR,FUEL_LEVEL_PCT,BATTERY_VOLTAGE,ENGINE_TEMP_C,ODOMETER_KM,EVENT_TYPE,BRANCH_NAME,CITY,CREATED_AT
118,18,4,2025-12-14 11:28:00,34.0209,-6.8416,0.0,0.0,0.0,82.70199755507302,12.349907523097253,43.28188823849266,15122.103546670069,ENGINE_START,Rabat Agdal,Rabat,2025-12-14 11:28:00
118,18,4,2025-12-14 11:28:30,34.0201628,-6.8451565,7.424193617928396,0.0,0.07179498001828821,82.69323288205186,14.119910461512893,45.48201252823413,15122.165414950217,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:28:30
118,18,4,2025-12-14 11:29:00,34.0191513,-6.8497305,9.475881235055022,0.018997107565987277,0.769909439865083,82.68204607781603,13.752825235015068,47.323322786370134,15122.244380627177,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:29:00
118,18,4,2025-12-14 11:29:30,34.0154953,-6.855331,34.82102595822832,0.23467726595530833,1.2459619050770447,82.64093792217089,14.160904743866453,52.55916508117183,15122.534555843495,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:29:30
118,18,4,2025-12-14 11:30:00,34.0100241,-6.8598977,54.67789573954394,0.18385990538255204,3.873165572154505,82.57638762858949,14.244609275467695,56.80506200245846,15122.990204974658,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:30:00
118,18,4,2025-12-14 11:30:30,34.0067519,-6.8629331,49.06953401112641,-0.05192927526312534,1.7995983260746269,82.51845831760413,13.61102588374533,59.83901565876816,15123.399117758085,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:30:30
118,18,4,2025-12-14 11:31:00,34.0051397,-6.8646284,43.871999291994626,-0.0481253214734424,2.7872438476895334,82.46666498510663,14.201441118363181,63.73657025022064,15123.764717752185,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:31:00
118,18,4,2025-12-14 11:31:30,34.0025426,-6.866618,34.11678581577934,-0.09032605070569708,1.922576027638216,82.42638822407412,13.900771155816038,67.33443592848471,15124.04902430065,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:31:30
118,18,4,2025-12-14 11:32:00,34.0009919,-6.8678854,38.87190978141408,0.044028925607729086,3.289212897451831,82.38049777502661,14.278569296062889,69.22075205731461,15124.372956882162,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:32:00
135,35,4,2025-12-14 11:32:00,31.6295,-7.9811,0.0,0.0,0.0,92.84401235785685,12.672981673645488,43.83039714414962,15053.669907316082,ENGINE_START,Marrakech Gueliz,Marrakech,2025-12-14 11:32:00
118,18,4,2025-12-14 11:32:30,33.9993932,-6.8691306,39.02103348008328,0.0013807749876778056,0.8787609764711746,82.33443127716818,13.824167559391704,71.0033781450098,15124.698132161162,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:32:30
135,35,4,2025-12-14 11:32:30,31.634178000000002,-7.983413875,6.143450497653359,0.0,1.0642703267158664,92.83718630174835,14.076163079681262,46.80667151892731,15053.721102736896,DRIVING,Marrakech Gueliz,Marrakech,2025-12-14 11:32:30
118,18,4,2025-12-14 11:33:00,33.9986026,-6.869781,31.09066123778723,-0.07342937261385234,4.242549249877264,82.29772702431801,13.855779055486346,72.38037785906116,15124.95722100481,DRIVING,Rabat Agdal,Rabat,2025-12-14 11:33:00
